Prenom;Nom;Societe;Site;Departement;Service;fonction;Manager-Prenom;Manager-Nom;Nom de PC;Marque PC;Date de naissance;Telephone fixe;Telephone portable;Télétravail
Elif;Andersen;EcoTechSolutions;Bordeaux;Finance_et_comptabilite;Fiscalite;Conseiller_en_fiscalite;Liam;Rodriguez;PA31320;LENOVO;22/08/1982__;05 34 56 78 90;-;Non
Arnaud;Aubry;MadTech;;DSI;Exploitation;Technicien d'exploitation;;;;;;;;
Salma;Bianchi;EcoTechSolutions;Bordeaux;DRH;Responsable_recrutement;Responsable recrutement;Emir;Rizzo;PA20618;HP;10/05/1992__;05 10 98 76 54;07 84 10 57 38;Non
Tara;Costa;EcoTechSolutions;Bordeaux;Finance_et_comptabilite;;Comptable;;;;;;;;
Tina;Demir;EcoTechSolutions;Bordeaux;Service_commercial;ADV;Gestionnaire ADV;Amir;Gómez;PA64810;DELL;16/11/1984__;05 87 65 43 21;06 21 67 38 96;Non
Hugo;Dimitrov;EcoTechSolutions;Bordeaux;Developpement;;Directeur Developpement;Emir;Rizzo;PA93655;TOSHIBA;21/09/1998__;05 12 34 56 78;07 30 41 39 31;Non
Cleo;Dupont;EcoTechSolutions;Bordeaux;Communication;Communication_interne;Community manager;Wassim;Ibrahimovic;PA19149;DELL;14/05/1989__;05 56 78 90 12;07 36 67 22 09;Non
Aria;Ekström;EcoTechSolutions;Bordeaux;Service_commercial;ADV;Gestionnaire ADV;Amir;Gómez;PA46917;DELL;02/09/1990__;05 40 98 76 54;07 39 06 34 77;Non
Zara;Fernandez;UBIHard;Paris;Developpement;Test_et_qualite;Developpeur;Hugo;Dimitrov;-;-;-;-;-;-
Alexis;Fischer;EcoTechSolutions;Bordeaux;Finance_et_comptabilite;Finance;Controleur de gestion;Liam;Rodriguez;PA57512;HP;28/11/1986__;05 45 67 89 01;-;Non
Damien;Galais-Cohen;MadTech;;DSI;Exploitation;Technicien d'exploitation;;;;;;;;
Boris;Garcia;EcoTechSolutions;Bordeaux;Communication;Communication_interne;Community manager;Wassim;Ibrahimovic;PA11094;DELL;01/01/1991__;05 76 54 32 10;07 10 63 05 03;Non
Amir;Gómez;EcoTechSolutions;Bordeaux;Service_commercial;ADV;Responsable ADV;Lana;Wong;PA16564;DELL;16/07/1988__;05 12 34 56 78;06 97 33 62 93;Non
Gita;Hassania;EcoTechSolutions;Bordeaux;Service_commercial;B2B;commercial;Lana;Wong;PA82880;DELL;18/08/1991__;05 34 56 78 90;06 55 93 98 08;Non
Val;Hernandez;EcoTechSolutions;Bordeaux;Service_commercial;Service_client;Agent;Enzo;Morin;PA39395;DELL;25/01/1985__;05 45 67 89 01;-;Non
Petra;Hoàng;EcoTechSolutions;Bordeaux;Developpement;Developpement;Developpeur;Hugo;Dimitrov;PA33002;TOSHIBA;17/05/1991__;05 87 65 43 21;07 49 53 46 24;Non
